name,assists,bonus,bps,clean_sheets,creativity,end_cost,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,start_cost,threat,total_points,yellow_cards,cost_18_19,points_18_19
Joel_Ward_126,1,0,276,4,163.5,47,25,0,56.3,340.6,1613,1,0,0,0,0,50,58.0,41,4,45,13
Joe_Hart_95,1,3,341,4,20.0,42,39,0,40.2,382.8,1710,0,0,1,0,54,45,0.0,59,0,45,69
Johann Berg_Gudmundsson_96,9,7,467,10,1052.0,50,33,2,219.2,599.0,2831,0,0,0,0,0,50,539.0,117,2,60,92
John_Stones_207,0,5,334,9,26.3,53,11,0,43.2,283.4,1301,0,0,0,0,0,55,120.0,70,0,55,83
Jonas_Lössl_479,1,11,701,10,30.0,46,58,0,87.8,846.8,3420,1,0,2,0,103,45,0.0,135,1,45,99
Jonjo_Shelvey_269,4,4,360,6,639.9,52,30,1,132.3,442.6,2264,0,0,0,2,0,55,243.0,73,2,55,39
Jonny_Evans_162,2,5,455,6,104.2,49,38,2,85.1,536.2,2269,1,0,0,0,0,50,211.0,78,7,50,77
Jordan_Ayew_468,2,12,382,7,350.4,54,49,7,185.8,562.2,2850,0,0,0,1,0,50,944.0,108,2,60,46
Jordan_Henderson_198,1,3,382,14,448.8,53,21,1,97.8,417.0,2169,0,0,0,0,0,55,110.0,75,1,55,76
Jordan_Pickford_148,0,16,724,10,30.1,49,58,0,90.7,873.6,3420,0,0,1,0,121,50,4.0,145,0,50,161
Jordon_Ibe_78,6,5,289,4,602.7,46,33,2,157.3,362.0,1988,0,0,0,0,0,50,610.0,85,1,55,33
Jose Luis_Mato Sanmartín_261,1,5,227,5,254.8,55,25,4,106.5,291.2,1703,0,1,0,0,0,55,526.0,69,2,50,30
Joseph_Gomez_184,2,9,480,9,285.6,45,22,0,76.9,437.4,1901,0,0,0,0,0,45,46.0,86,3,50,55
Joseph_Willock_490,0,0,8,0,5.8,45,2,0,1.8,8.2,81,0,0,0,0,0,45,4.0,3,0,45,4
Joshua_King_68,4,10,381,7,556.7,70,38,8,203.7,577.0,2450,0,0,0,0,0,75,902.0,110,3,65,141
José Heriberto_Izquierdo Mena_51,5,4,324,5,311.3,59,32,5,131.3,385.4,1976,0,0,0,0,0,60,618.0,101,2,60,31
José_Holebas_353,4,6,412,6,632.8,48,47,0,127.0,510.0,2381,0,0,0,0,0,50,125.0,72,7,45,93
Juan_Foyth_335,0,0,0,0,0.0,45,0,0,0.0,0.0,0,0,0,0,0,0,45,0.0,0,0,50,35
Juan_Mata_242,5,6,418,15,849.9,68,10,3,172.1,422.8,1919,0,0,0,0,0,70,453.0,100,1,65,70
Junior_Stanislas_77,3,7,285,2,377.2,57,22,5,125.1,394.8,1285,0,0,0,0,0,60,483.0,75,1,60,56
Jürgen_Locadia_45,1,2,47,1,24.6,60,8,1,15.8,50.4,221,0,0,0,0,0,60,89.0,16,0,55,52
Karl_Darlow_263,0,2,172,2,0.0,43,15,0,25.9,258.8,900,1,0,0,0,35,45,0.0,33,0,45,0
Kasper_Schmeichel_168,0,17,592,8,11.1,51,47,0,69.9,687.2,2965,1,0,2,0,93,50,0.0,123,3,50,120
Kelechi_Iheanacho_167,4,5,171,1,185.6,65,17,3,74.5,214.2,818,0,0,0,0,0,70,350.0,54,2,60,58
Kevin_De Bruyne_215,18,25,872,19,1744.2,103,22,8,368.9,1146.6,3073,0,0,0,0,0,100,797.0,209,2,100,59
Kevin_Long_88,2,6,282,4,64.8,41,21,1,74.5,460.0,1440,1,0,0,0,0,40,220.0,57,1,45,16
Kieran_Trippier_334,7,18,539,9,617.5,52,21,0,115.6,459.0,1912,0,0,0,0,0,55,78.0,113,1,60,118
Konstantinos_Mavropanos_8,0,0,41,1,1.3,42,5,0,5.5,52.2,194,0,0,0,1,0,45,2.0,4,0,50,3
Kurt_Zouma_459,0,5,554,7,91.8,54,50,1,114.4,814.2,2887,0,0,0,0,0,55,235.0,87,1,50,112
Kyle_Walker-Peters_337,2,0,73,1,48.3,40,4,0,12.9,70.4,188,0,0,0,0,0,45,10.0,13,0,45,28
Kyle_Walker_203,6,8,691,15,511.4,66,22,0,117.1,542.4,2784,1,0,0,1,0,65,117.0,138,2,65,150
Laurent_Koscielny_7,0,16,556,9,123.8,60,32,2,95.5,692.0,2225,0,0,0,0,0,60,137.0,100,4,55,62
Lee_Grant_237,0,0,44,0,0.0,42,7,0,6.3,64.2,270,0,0,0,0,8,45,0.0,5,0,50,0
Leighton_Baines_145,3,10,381,5,373.5,57,34,2,88.2,407.4,1909,0,0,0,0,0,60,102.0,82,1,55,7
Leroy_Sané_216,15,17,647,12,891.3,87,22,10,274.4,842.4,2415,0,0,0,0,0,85,1013.0,179,4,95,156
Lewis_Cook_79,2,0,337,3,423.3,43,42,0,100.7,456.4,2234,0,0,0,0,0,45,126.0,58,5,50,22
Lewis_Dunk_42,1,7,637,10,147.8,45,54,1,157.9,1002.8,3420,4,0,0,0,0,45,425.0,97,7,45,91
Lucas_Rodrigues Moura da Silva_345,1,0,36,0,83.2,77,6,0,17.5,49.0,206,0,0,0,0,0,80,41.0,11,0,70,131
Lukasz_Fabianski_388,0,14,772,9,10.0,47,56,0,109.9,1087.8,3420,0,0,3,0,137,45,0.0,157,0,45,143
Luka_Milivojevic_134,2,21,630,8,379.0,52,52,10,168.6,873.8,3079,0,1,0,0,0,50,432.0,144,8,65,166
Luke_Shaw_226,0,4,216,7,127.0,48,2,0,41.5,142.6,787,0,0,0,0,0,50,144.0,48,2,50,91
Lys_Mousset_70,0,3,106,1,69.5,49,16,2,43.9,120.4,581,0,0,0,0,0,50,252.0,36,1,50,28
Maarten_Stekelenburg_149,0,0,0,0,0.0,42,0,0,0.0,0.0,0,0,0,0,0,0,45,0.0,0,0,40,0
Mamadou_Sakho_125,2,18,405,6,30.7,46,23,1,53.6,426.2,1597,0,0,0,0,0,50,77.0,81,1,50,88
Manuel_Lanzini_391,7,11,470,6,624.9,66,44,5,168.8,559.4,2039,0,1,0,0,0,70,502.0,106,4,65,31
Marcos_Alonso_103,2,15,650,13,549.6,71,30,7,207.1,697.8,2855,0,0,0,0,0,70,822.0,165,6,65,161
Marcos_Rojo_227,0,4,126,3,26.0,54,8,0,22.5,151.4,639,0,0,0,0,0,55,47.0,23,6,50,2
Marcus_Rashford_233,5,11,387,10,412.1,73,16,7,171.7,470.8,1799,0,0,0,0,0,75,838.0,104,3,70,128
Marc_Albrighton_174,8,12,458,8,718.3,55,42,2,160.2,580.0,2533,0,0,0,1,0,55,300.0,107,5,55,63
Mario_Lemina_324,1,5,337,4,170.6,48,31,1,67.8,363.6,1715,0,0,0,0,0,50,145.0,58,2,50,50
Marko_Arnautovic_385,7,12,440,7,543.0,71,50,11,241.1,713.8,2309,0,0,0,1,0,70,1155.0,144,5,70,117
Mark_Noble_396,0,7,461,7,337.8,53,45,4,100.8,527.6,2400,0,0,0,0,0,55,141.0,84,6,50,99
Martin_Dubravka_262,0,5,215,4,0.0,45,11,0,23.3,234.6,1080,0,0,1,0,26,45,0.0,53,0,50,131
Martin_Kelly_128,0,1,185,4,25.7,41,21,0,33.3,222.6,1193,1,0,0,0,0,45,84.0,34,1,40,26
Mason_Holgate_478,0,0,214,4,93.9,40,14,0,48.5,285.8,1183,0,0,0,0,0,45,105.0,37,3,45,5
Mathew_Ryan_47,0,13,726,10,0.0,46,54,0,91.1,911.6,3420,0,0,2,0,124,45,0.0,146,0,45,104
Matteo_Darmian_230,0,3,119,3,25.3,49,3,0,12.6,95.0,443,0,0,0,0,0,55,6.0,27,0,50,14
Matthew_Lowton_85,3,4,450,8,264.9,44,26,0,89.0,574.6,2295,0,0,0,0,0,45,46.0,89,1,50,34
Matty_James_177,0,0,121,4,52.7,44,15,0,31.4,114.6,991,0,0,0,0,0,45,145.0,26,2,45,0
Matt_Ritchie_251,7,10,489,9,844.4,54,35,3,192.6,561.2,2802,0,0,0,0,0,60,520.0,116,6,60,110
Matt_Targett_309,0,0,35,0,38.6,43,6,0,8.1,42.2,166,0,0,0,0,0,45,0.0,2,0,45,36
Maya_Yoshida_310,1,6,413,6,67.0,46,32,2,83.0,525.2,2049,0,0,0,1,0,50,236.0,76,2,45,44
Mesut_Özil_15,9,11,506,8,1287.5,93,36,4,248.6,640.6,2161,0,0,0,0,0,95,555.0,112,4,85,89
Michael_Keane_143,1,11,513,7,58.4,53,46,0,88.7,703.4,2559,0,0,0,0,0,55,124.0,81,3,50,129
Michael_Obafemi_314,0,0,-1,0,1.3,45,0,0,0.3,0.0,8,0,0,0,0,0,45,4.0,1,0,50,13
Michail_Antonio_389,2,1,188,7,256.3,74,23,3,94.6,296.6,1350,0,0,0,0,0,75,393.0,62,1,70,118
Michel_Vorm_555,0,0,17,0,0.0,48,1,0,1.9,19.0,90,0,0,0,0,4,50,0.0,3,0,50,5
Michy_Batshuayi_461,1,3,77,1,39.0,81,7,2,25.7,99.4,351,1,0,0,0,0,85,123.0,25,0,65,48
Mohamed_Elneny_20,1,0,156,3,194.4,42,12,0,42.5,138.2,865,0,0,0,1,0,45,92.0,22,3,45,10
Mohamed_Salah_191,12,26,881,15,942.5,106,29,32,454.4,1496.2,2905,0,1,0,0,0,90,2109.0,303,1,130,259
Morgan_Schneiderlin_158,0,1,344,6,159.2,47,38,0,57.2,361.2,2124,0,0,0,1,0,50,52.0,52,4,45,28
Moussa_Sissoko_349,1,0,246,7,384.7,53,18,1,91.1,245.8,1385,0,0,0,0,0,55,281.0,58,3,50,76
N'Golo_Kanté_119,2,9,655,16,638.2,49,32,1,151.7,676.0,2994,0,0,0,0,0,50,199.0,101,3,50,116
Nacho_Monreal_6,2,15,604,10,238.7,57,29,5,124.0,693.6,2241,0,0,0,0,0,55,305.0,130,3,55,77
Nampalys_Mendy_179,0,0,0,0,0.0,45,0,0,0.0,0.0,0,0,0,0,0,0,45,0.0,0,0,45,58
Nathaniel_Chalobah_374,0,0,40,3,26.5,42,7,0,20.0,78.8,447,0,0,0,0,0,45,95.0,13,1,45,10
Nathan_Aké_59,3,8,642,6,115.1,50,59,2,133.5,932.4,3352,0,0,0,0,0,50,287.0,102,5,50,120
Nathan_Redmond_320,3,3,296,7,630.9,59,31,1,147.2,347.0,1938,0,0,0,0,0,65,493.0,72,3,55,137
Nemanja_Matic_247,1,3,576,16,427.9,47,26,1,127.9,681.4,3117,0,0,0,0,0,50,168.0,91,6,50,59
Nick_Pope_93,0,19,701,11,40.0,50,35,0,90.1,862.4,3114,0,0,1,0,113,45,0.0,152,3,50,0
Nicolás_Otamendi_208,0,21,742,15,224.6,64,25,4,143.7,846.6,2966,1,0,0,0,0,55,363.0,156,9,65,70
Oleksandr_Zinchenko_206,0,0,104,3,145.9,50,3,0,28.3,116.4,530,0,0,0,0,0,50,21.0,16,1,50,44
Olivier_Giroud_110,1,10,273,5,311.1,84,11,7,129.0,307.0,981,0,0,0,0,0,85,673.0,77,0,80,55
Oriol_Romeu Vidal_328,0,0,474,8,338.7,42,47,1,118.7,616.2,2897,0,0,0,0,0,45,231.0,68,11,45,55
Oumar_Niasse_570,3,14,248,0,159.2,46,23,8,115.2,370.6,1076,0,0,0,0,0,50,634.0,83,2,55,30
Pablo_Zabaleta_379,1,6,563,10,293.7,49,62,0,100.7,635.0,3289,1,0,0,0,0,50,77.0,90,9,45,56
Pascal_Groß_49,8,24,635,10,1311.0,59,46,7,257.6,735.4,2928,0,0,0,0,0,55,527.0,164,2,70,80
Patrick_van Aanholt_123,1,7,448,6,303.8,52,38,5,116.3,537.0,2182,0,0,0,0,0,55,319.0,95,7,55,140
Paulo_Gazzaniga_341,0,2,26,1,0.0,42,0,0,2.7,27.4,90,0,0,0,0,3,45,0.0,9,0,45,13
Paul_Dummett_255,0,0,280,5,97.8,42,18,0,49.0,333.6,1602,0,0,0,0,0,45,58.0,52,1,45,67
Paul_Pogba_238,13,15,528,11,663.5,79,20,6,215.6,710.8,2145,0,0,0,1,0,80,780.0,138,5,80,179
Pedro_Obiang_400,0,6,270,5,132.1,42,29,2,60.1,377.8,1562,0,0,0,0,0,45,88.0,54,3,45,43
Pedro_Rodríguez Ledesma_114,2,2,272,8,410.0,77,14,4,124.6,338.4,1511,0,0,0,0,0,80,498.0,81,1,65,112
Philip_Billing_476,0,0,98,3,58.6,44,11,0,19.3,111.4,755,0,0,0,0,0,45,26.0,22,3,45,63
Phil_Bardsley_86,0,0,193,4,117.5,40,13,0,38.3,229.4,1125,0,0,0,0,0,45,35.0,33,5,45,33
Phil_Foden_220,1,0,31,0,32.1,47,1,0,7.1,29.2,45,0,0,0,0,0,50,10.0,8,0,50,25
Phil_Jagielka_444,0,5,415,6,24.1,47,39,0,66.2,529.2,2063,0,0,0,0,0,50,108.0,60,2,45,22
Phil_Jones_231,0,19,554,15,36.6,55,11,0,53.6,486.4,1973,1,0,0,0,0,50,12.0,116,2,55,43
Pierre-Emerick_Aubameyang_11,4,12,354,4,207.1,108,15,10,127.1,484.0,1056,0,1,0,0,0,105,580.0,87,0,110,205
Pierre-Emile_Højbjerg_325,0,0,261,3,258.4,43,30,0,67.6,266.6,1666,0,0,0,0,0,45,148.0,39,6,45,90
Rafael_Camacho_201,0,0,0,0,0.0,45,0,0,0.0,0.0,0,0,0,0,0,0,45,0.0,0,0,50,1
Raheem_Sterling_214,17,19,701,13,838.2,91,23,18,329.7,969.8,2584,0,0,0,1,0,80,1488.0,229,3,110,234
Reiss_Nelson_489,0,0,23,0,29.7,47,3,0,5.3,12.0,144,0,0,0,0,0,50,11.0,5,0,45,0
Rhu-endly_Martina_577,2,0,367,5,238.8,41,30,0,74.9,468.8,1830,0,0,0,0,0,45,39.0,55,2,45,0
Richarlison_de Andrade_150,8,4,304,8,384.7,58,54,5,209.3,497.0,2817,0,0,0,0,0,60,1217.0,125,4,65,153
Riyad_Mahrez_217,13,19,682,9,924.0,87,51,12,282.6,966.0,2948,0,0,0,0,0,85,932.0,195,2,90,102
Robbie_Brady_98,4,7,216,6,477.9,53,12,1,97.3,273.8,1277,0,0,0,0,0,55,221.0,56,3,55,20
Robert Kenedy_Nunes do Nascimento_462,2,5,171,6,224.1,48,9,2,71.4,236.4,1023,0,0,0,0,0,50,253.0,51,1,50,50
Roberto_Firmino_187,8,29,758,16,834.5,95,32,15,312.7,951.0,2760,0,0,0,0,0,85,1341.0,181,1,95,160
Roberto_Pereyra_369,3,5,299,1,370.6,58,34,5,118.8,346.0,1610,0,0,0,0,0,60,472.0,81,3,60,122
Robert_Elliot_573,0,4,280,3,0.0,40,21,0,36.5,364.2,1440,0,0,1,0,44,40,0.0,57,0,45,0
Robert_Snodgrass_393,0,0,0,0,0.0,58,0,0,0.0,0.0,0,0,0,0,0,0,60,0.0,0,0,55,85
Rob_Holding_10,1,1,196,3,39.3,44,17,0,27.5,212.2,819,0,0,0,0,0,50,24.0,27,3,45,24
Romelu_Lukaku_232,7,18,593,14,572.4,115,26,16,273.2,831.0,2866,0,1,0,0,0,115,1334.0,162,4,110,115
Ross_Barkley_117,0,0,11,0,34.7,73,4,0,10.1,21.0,129,0,0,0,0,0,75,45.0,3,0,60,79
Ruben_Loftus-Cheek_115,5,2,337,6,377.0,44,30,2,124.5,379.2,1871,0,0,0,0,0,45,487.0,77,1,55,79
Ryan_Bertrand_305,5,4,553,8,589.1,53,49,0,139.3,515.2,3135,0,0,0,0,0,55,286.0,103,2,50,56
Ryan_Fraser_75,3,13,390,2,646.6,51,38,5,155.0,492.8,2003,0,0,0,0,0,55,413.0,97,0,55,181
Sadio_Mané_192,8,8,499,15,739.1,94,24,10,238.0,677.4,2189,0,0,0,1,0,95,964.0,147,3,95,231
Sam_Byram_454,0,0,41,0,37.6,42,7,0,14.5,71.0,246,0,0,0,0,0,45,36.0,5,1,45,0
Scott_Dann_127,0,0,211,1,62.3,46,26,1,67.0,342.2,1434,0,0,0,0,0,50,268.0,32,4,45,23
Scott_McTominay_248,0,0,96,4,53.6,42,3,0,14.2,78.2,629,0,0,0,0,0,45,11.0,21,2,45,38
Sead_Kolasinac_3,4,6,510,10,334.9,58,30,2,118.3,443.2,2146,0,0,0,0,0,60,404.0,108,3,50,81
Seamus_Coleman_144,1,0,198,4,113.7,64,12,0,41.2,227.6,1035,0,0,0,0,0,65,69.0,39,0,55,125
Sebastian_Prödl_361,0,0,267,5,25.9,43,29,0,39.3,276.4,1566,0,0,0,0,0,45,89.0,42,5,45,1
Serge_Aurier_336,2,9,335,6,236.5,59,13,2,81.4,367.2,1427,0,0,0,1,0,60,209.0,77,1,60,24
Sergio_Agüero_210,6,22,740,13,570.8,115,12,21,302.5,966.4,1960,0,0,0,0,0,115,1484.0,169,2,110,201
Sergio_Romero_236,0,0,26,1,0.0,47,0,0,2.6,26.4,90,0,0,0,0,3,50,0.0,7,0,50,0
Shane_Duffy_37,2,7,614,10,98.9,46,52,0,148.9,1027.6,3292,0,0,0,0,0,45,361.0,100,8,45,115
Shane_Long_315,2,0,167,4,301.9,56,28,2,104.6,235.6,1570,0,0,0,0,0,60,512.0,53,6,50,66
Shkodran_Mustafi_1,1,13,610,10,129.9,54,30,3,117.0,836.6,2272,0,0,0,0,0,55,202.0,109,6,55,80
Simon_Francis_62,1,3,491,4,418.4,43,47,0,131.0,726.8,2708,0,0,0,1,0,45,163.0,56,8,45,40
Simon_Mignolet_190,0,0,329,7,0.0,47,24,0,28.0,281.0,1710,0,0,1,0,36,50,0.0,67,3,50,0
Sofiane_Boufal_508,2,2,215,1,351.6,57,24,2,103.7,289.4,1206,0,0,0,0,0,60,397.0,55,1,55,0
Solomon_March_55,3,3,303,6,320.9,48,29,1,99.8,357.4,1838,0,0,0,0,0,50,316.0,74,3,50,94
Steven_Defour_99,1,0,353,12,310.8,54,17,1,78.4,353.8,1998,0,0,0,0,0,55,117.0,62,6,55,10
Steve_Cook_58,1,9,495,5,65.6,46,53,2,120.6,870.0,2764,1,0,0,0,0,50,271.0,83,5,45,85
Sung-yueng_Ki_268,2,9,340,5,338.1,46,29,2,79.7,307.2,1865,0,0,0,0,0,50,152.0,73,2,50,38
Tammy_Abraham_460,3,11,238,4,182.6,54,31,5,114.2,269.2,1715,0,0,0,0,0,55,693.0,86,0,55,0
Theo_Walcott_153,3,3,226,4,234.9,66,17,3,95.9,316.6,1214,0,0,0,0,0,75,406.0,62,2,65,101
Timothy_Fosu-Mensah_658,0,3,279,2,103.7,44,29,0,47.4,326.6,1592,0,0,0,0,0,45,43.0,39,2,45,14
Toby_Alderweireld_331,0,3,247,5,67.8,58,13,0,36.8,249.2,1177,0,0,0,0,0,60,50.0,43,3,60,107
Tom_Cleverley_371,2,3,300,6,464.8,50,33,1,92.1,332.2,1900,0,1,0,1,0,50,124.0,58,1,50,25
Tom_Davies_154,2,3,223,6,207.2,51,24,2,65.8,242.8,1892,0,0,0,0,0,55,218.0,66,7,55,26
Tom_Heaton_94,0,0,48,0,0.0,47,4,0,5.3,53.4,305,0,0,0,0,8,50,0.0,8,0,50,58
Trent_Alexander-Arnold_182,2,10,385,8,399.2,44,17,1,90.1,358.2,1573,0,0,0,0,0,45,142.0,83,3,50,185
Troy_Deeney_362,2,7,241,6,349.4,63,30,5,125.3,343.0,1836,0,2,0,1,0,65,566.0,73,1,60,116
Tyrone_Mings_445,0,0,40,0,14.8,42,5,0,7.2,46.6,201,0,0,0,0,0,45,10.0,3,1,45,5
Victor_Lindelöf_225,0,1,297,5,37.7,49,14,0,32.0,272.8,1284,0,0,0,0,0,55,8.0,47,1,50,85
Victor_Wanyama_348,0,1,174,2,96.8,48,11,1,37.8,206.0,837,0,0,0,0,0,50,77.0,32,2,50,24
Vincent_Janssen_339,0,0,2,0,0.0,74,0,0,0.0,0.0,1,0,0,0,0,0,75,0.0,1,0,45,3
Virgil_van Dijk_183,0,5,481,8,122.6,57,28,0,100.2,601.0,2253,0,0,0,0,0,55,277.0,78,1,60,208
Wayne_Hennessey_132,0,11,506,7,10.0,44,41,0,61.4,603.8,2430,0,0,0,0,91,45,0.0,99,1,45,67
Wesley_Hoedt_485,2,11,532,5,130.9,50,42,0,93.8,661.6,2520,0,0,0,0,0,50,146.0,74,7,45,29
Wes_Morgan_165,0,1,390,5,62.0,44,52,0,75.1,530.0,2817,0,0,0,0,0,45,158.0,61,4,45,76
Wilfred_Ndidi_176,4,4,449,9,230.7,49,45,0,117.2,640.4,2896,0,0,0,2,0,50,299.0,78,6,50,89
Wilfried_Zaha_133,7,8,404,10,716.9,71,31,9,251.0,668.0,2549,0,0,0,0,0,70,1125.0,136,5,70,143
Willian_Borges Da Silva_113,8,13,522,9,891.5,70,19,6,224.5,640.0,1874,0,0,0,0,0,70,715.0,130,1,75,108
Willy_Caballero_112,0,0,54,1,0.0,48,4,0,5.5,55.2,270,0,0,0,0,7,50,0.0,11,0,50,13
Will_Hughes_370,3,5,190,4,267.0,46,16,2,64.3,238.6,987,0,0,0,0,0,50,136.0,53,0,50,87
Winston_Reid_383,0,3,264,5,48.8,48,27,0,43.6,322.4,1452,0,0,0,0,0,50,64.0,42,5,45,0
Xherdan_Shaqiri_194,9,19,554,6,1151.6,61,58,8,255.2,718.0,3039,0,1,0,0,0,60,676.0,155,5,75,88
